Equipe,Moyenne d'âge,Ecart-type âge,Age du plus jeune joueur,Age du plus vieux joueur,Moyenne de sélections,Ecart-type sélections,Nombre sélections joueur le plus capé
Algerie,26.17,3.21,19,31,18.83,18.62,76
Allemagne,25.70,3.85,20,35,41.52,40.83,131
Angleterre,26.04,4.79,18,35,27.22,32.48,110
Argentine,28.48,2.69,24,33,30.52,24.71,96
Australie,25.74,4.14,21,34,17.78,21.09,74
Belgique,25.48,3.64,19,36,32.57,20.99,79
Bosnie-Herzegovine,26.57,3.72,20,33,26.26,24.80,82
Bresil,27.83,3.42,21,34,29.65,22.65,80
Cameroun,26.22,4.03,18,33,30.22,26.30,117
Chili,27.52,2.97,23,33,34.96,22.20,79
Colombie,26.91,4.89,21,42,28.26,23.73,98
Coree du Sud,25.70,2.55,21,32,25.70,20.80,63
Costa Rica,27.09,3.12,21,32,34.09,21.25,79
Cote d'Ivoire,27.39,4.38,21,36,38.22,39.24,119
Croatie,26.96,4.35,20,35,39.87,35.21,112
Equateur,27.35,3.80,19,35,37.39,28.17,109
Espagne,27.78,3.26,22,34,60.48,45.88,154
Etats-Unis,27.30,4.54,19,35,34.96,34.20,115
France,26.39,3.77,20,35,20.65,18.94,65
Ghana,24.91,2.71,21,31,29.83,23.01,81
Grece,27.91,4.27,20,37,38.78,35.85,135
Honduras,28.09,3.95,20,37,46.65,32.90,121
Iran,27.91,3.53,20,33,29.87,33.57,139
Italie,27.39,4.22,21,36,32.04,37.42,139
Japon,26.87,3.06,23,34,39.65,35.52,143
Mexique,26.83,3.90,21,35,41.22,37.93,122
Nigeria,25.30,4.06,20,33,28.61,26.32,96
Pays-Bas,25.91,3.78,20,33,28.65,33.49,99
Portugal,28.17,3.24,21,33,36.74,30.24,110
Russie,27.00,3.64,21,34,25.96,29.24,95
Suisse,25.57,3.34,21,30,31.43,22.36,73
Uruguay,28.04,3.84,19,35,49.22,32.27,109
Total général,26.83,3.80,18,42,33.37,30.61,154
